# Sovereign default / restructuring events from the Bank of Canada CRAG
# database. Auto-generated by scripts/fetch_crag_defaults.py.
# Schema matches what backend/credit_default/defaults.py expects.
iso3,start_year,end_year,event_type,instrument,source,notes
BLZ,2002,2013,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BLZ,2017,2018,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BLZ,2020,2021,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BEN,1989,1989,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BEN,1991,1991,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BEN,1993,1993,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BEN,1996,1996,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BEN,2000,2000,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BEN,2003,2003,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BEN,2000,2018,paris_club,paris_club,CRAG,BoC creditor: China
BEN,1960,2018,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BEN,1970,1999,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BEN,2018,2018,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BEN,1980,1981,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BEN,1983,2017,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BEN,2019,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BTN,1990,1996,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BTN,2005,2005,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BOL,1985,2004,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BOL,2003,2005,paris_club,paris_club,CRAG,BoC creditor: China
BOL,2008,2008,paris_club,paris_club,CRAG,BoC creditor: China
BOL,2015,2015,paris_club,paris_club,CRAG,BoC creditor: China
BOL,2017,2017,paris_club,paris_club,CRAG,BoC creditor: China
BOL,2020,2020,paris_club,paris_club,CRAG,BoC creditor: China
